filename,mask_frac,psnr_full,psnr_mask,ssim_full,ssim_mask
0002.png,0.530242919921875,30.732884209751,27.98948728631434,0.8577545781669447,0.7453573520637358
0007.png,0.4364776611328125,30.147229563945814,26.55845421769724,0.89360364928518,0.7751537459751526
0026.png,0.337005615234375,34.246932109685424,29.53709553928832,0.9576140047510792,0.8848974419419643
0041.png,0.2665863037109375,33.72083362788914,27.98913453167841,0.9577659755640834,0.8518967620133887
0042.png,0.43328857421875,33.342849143526685,29.795126313528687,0.9441256666581158,0.8879848987664947
0045.png,0.3016204833984375,37.403372947898475,32.20326093419631,0.9746715557379425,0.9216590155512974
0055.png,0.4647064208984375,32.87053608701374,29.555316579970157,0.9493251857081539,0.9021706764517379
0061.png,0.359344482421875,35.06675992852033,30.665688624526062,0.9536419841913777,0.8860665385160017
0068.png,0.6452789306640625,32.86332143032676,30.96836168235999,0.9458387042627812,0.9231334919231708
0070.png,0.3845672607421875,31.90447789545587,27.75668971643492,0.9397941339278817,0.8529946419229668
0117.png,0.3602752685546875,35.44474753385554,31.01513183753703,0.9658196719549179,0.9130467701378099
0123.png,0.33984375,33.96177756476274,29.274830980045543,0.9600543213659879,0.8901451116535914
0144.png,0.389678955078125,32.20964856482099,28.1644162851071,0.9201137146850694,0.821424226361445
0146.png,0.3463287353515625,32.49406189977135,27.898779559065932,0.9424254305374462,0.8494814435887291
0152.png,0.6053466796875,27.969899295680772,25.809697184122523,0.88743745563644,0.8294194461083583
0163.png,0.59576416015625,26.42680656571941,24.297664050220217,0.8101987957710615,0.7298675337859857
0165.png,0.3409271240234375,33.5185815906327,28.846243328793413,0.9535142856347373,0.866851432122453
0174.png,0.427947998046875,33.06102357500025,29.375103613262098,0.9612637428484211,0.9151539194288643
0177.png,0.36651611328125,34.34121260640807,29.983787249100068,0.9635698410241444,0.9081399857398478
0195.png,0.3775482177734375,35.5490159545883,31.321268319693697,0.9594382514541467,0.9002047203894775
0203.png,0.3918609619140625,33.26975814156497,29.215022783808458,0.9411030983188303,0.8665299830572292
0207.png,0.2702178955078125,34.17159397523548,28.518648981330305,0.9566438480896422,0.861054315509812
0215.png,0.422637939453125,35.27486938642838,31.592651975534217,0.9577501926970825,0.9138341772665283
0229.png,0.3277130126953125,35.93249433388443,31.11228067735096,0.9719761277529992,0.9251725195866071
