filename,mask_frac,psnr_full,psnr_mask,ssim_full,ssim_mask
0002.png,0.530242919921875,22.821598752271093,20.10037615661304,0.7537739797794963,0.564892013438042
0007.png,0.4364776611328125,18.47783932073703,14.960936472484988,0.6542102150786943,0.34105704245939134
0026.png,0.337005615234375,22.942755719605902,18.249110984149137,0.841865145705247,0.5876864490994953
0041.png,0.2665863037109375,24.376453548334215,18.650737914856062,0.8758157195434794,0.5678426931753949
0042.png,0.43328857421875,25.888707039430074,22.26988420456893,0.837480229709203,0.6569439008858576
0045.png,0.3016204833984375,25.15979564076694,20.16756857462937,0.876202343193856,0.6661759862417838
0055.png,0.4647064208984375,19.434613049054597,16.10703357774234,0.753035852553598,0.4969308320261439
0061.png,0.359344482421875,28.809338197655812,24.372131609068962,0.8950497652373769,0.7269757545390797
0068.png,0.6452789306640625,23.532748167731725,21.64090924741698,0.8133438525978446,0.7351157716205773
0070.png,0.3845672607421875,24.375712437828096,20.28995523342394,0.8258997814007712,0.6173925404885677
0117.png,0.3602752685546875,25.81732210056633,21.399649494399217,0.8843847317415621,0.7102682896618303
0123.png,0.33984375,23.261464723019202,18.585222904713326,0.8716499718526485,0.6629964341434248
0144.png,0.389678955078125,23.65133042050744,19.597671265506115,0.8300115487626335,0.6120437911329585
0146.png,0.3463287353515625,17.13617887014173,12.675812635931154,0.6944004425443292,0.23168882482649986
0152.png,0.6053466796875,17.805262859098434,15.62969288787472,0.6289122432676651,0.42495123618674213
0163.png,0.59576416015625,14.016225735626831,11.776624890575988,0.5482839623463335,0.30479699889344253
0165.png,0.3409271240234375,21.292046643821763,16.72166199253972,0.8130729038339062,0.5284925145869301
0174.png,0.427947998046875,23.06961999740219,19.384294922785248,0.8484218022542777,0.6660525764651911
0177.png,0.36651611328125,25.701158067675877,21.349991798698827,0.8719969883912303,0.6747135831415241
0195.png,0.3775482177734375,25.54748500267173,21.36667743748841,0.8495132932334182,0.6399795304893581
0203.png,0.3918609619140625,17.893329044195145,13.824650262937489,0.7440301045257951,0.3772601393120952
0207.png,0.2702178955078125,22.889553191219978,17.93482350300463,0.82958560171328,0.4917507449894092
0215.png,0.422637939453125,26.16571566719079,22.43495939584122,0.8925151446293795,0.7638870106498054
0229.png,0.3277130126953125,26.11968243356666,21.27590694396622,0.8830851595242911,0.6613779889689799
0335.png,0.5655059814453125,21.541678683175252,19.066065358246238,0.7274845268814797,0.5409220828289301
0342.png,0.4365692138671875,25.475545241230652,22.078203460299314,0.8340618374421357,0.660159948127809
0384.png,0.2548065185546875,21.24080085611223,15.481073048666198,0.8186645870753261,0.39050088516693754
0396.png,0.3769989013671875,26.348394626914285,22.11322202833859,0.8775036523989861,0.6933718010148116
0413.png,0.465576171875,19.65906184210522,16.33925499292091,0.7362343000184053,0.45967071627792505
0438.png,0.3482666015625,21.15982483527867,16.633728850070117,0.8120191164007031,0.5414195096372613
0465.png,0.294281005859375,23.274054278383538,18.085558950337212,0.8702271987014255,0.6587431601000459
