sample_id,feature_type,block_index,layer_fraction,is_primary_block,similarity_1e5_to_clean,similarity_render_to_clean,delta_render_over_1e5,different_scene_1e5_to_clean,different_scene_render_to_clean,scene_advantage_1e5,scene_advantage_render,delta_scene_advantage,similarity_1e5_to_render,different_scene_target_sample_id
0214,raw,3,1/4,0,0.660634,0.769337,0.108703,0.558599,0.681915,0.102035,0.087422,-0.014613,0.489841,4374
0214,centered,3,1/4,0,0.694141,0.816914,0.122772,0.595815,0.735502,0.098326,0.081412,-0.016914,0.588409,4374
0217,raw,6,2/4,1,0.619367,0.831288,0.211921,0.618590,0.789763,0.000777,0.041525,0.040749,0.469965,4211
0217,centered,6,2/4,1,0.671884,0.809647,0.137763,0.671454,0.765225,0.000430,0.044422,0.043992,0.547862,4211
0217,raw,3,1/4,0,0.695165,0.815077,0.119911,0.677783,0.777695,0.017382,0.037382,0.020000,0.544047,4211
0217,centered,3,1/4,0,0.709836,0.833712,0.123876,0.691805,0.803605,0.018030,0.030106,0.012076,0.601769,4211
0225,raw,6,2/4,1,0.646506,0.844184,0.197679,0.644396,0.770803,0.002109,0.073381,0.071272,0.493329,3240
0225,centered,6,2/4,1,0.690595,0.812398,0.121803,0.680306,0.742412,0.010289,0.069986,0.059697,0.549696,3240
0225,raw,3,1/4,0,0.692122,0.839051,0.146929,0.684056,0.765406,0.008067,0.073645,0.065579,0.559363,3240
0225,centered,3,1/4,0,0.712452,0.848047,0.135595,0.684188,0.787739,0.028264,0.060308,0.032044,0.606354,3240
0232,raw,6,2/4,1,0.692873,0.823904,0.131031,0.654916,0.727540,0.037957,0.096363,0.058406,0.539610,2719
0232,centered,6,2/4,1,0.710881,0.801239,0.090358,0.670264,0.719921,0.040617,0.081318,0.040701,0.559158,2719
0232,raw,3,1/4,0,0.735963,0.816994,0.081032,0.701231,0.745661,0.034732,0.071333,0.036601,0.608878,2719
0232,centered,3,1/4,0,0.702404,0.840806,0.138402,0.671961,0.780742,0.030443,0.060064,0.029621,0.589913,2719
0247,raw,6,2/4,1,0.314636,0.755431,0.440795,0.228430,0.733195,0.086206,0.022236,-0.063970,0.170299,4826
0247,centered,6,2/4,1,0.463892,0.779105,0.315212,0.401341,0.726154,0.062551,0.052951,-0.009600,0.412919,4826
0247,raw,3,1/4,0,0.542217,0.745004,0.202787,0.470445,0.728849,0.071773,0.016155,-0.055618,0.404725,4826
0247,centered,3,1/4,0,0.632081,0.805550,0.173469,0.608329,0.765176,0.023751,0.040375,0.016623,0.553384,4826
0251,raw,6,2/4,1,0.765060,0.774682,0.009621,0.662355,0.833414,0.102706,-0.058733,-0.161439,0.594418,0704
0251,centered,6,2/4,1,0.743968,0.766863,0.022895,0.684746,0.797971,0.059222,-0.031108,-0.090330,0.598781,0704
0251,raw,3,1/4,0,0.800968,0.789965,-0.011003,0.702006,0.816208,0.098962,-0.026244,-0.125206,0.653839,0704
0251,centered,3,1/4,0,0.725056,0.826839,0.101783,0.690717,0.822961,0.034339,0.003879,-0.030461,0.625780,0704
0273,raw,6,2/4,1,0.739959,0.877732,0.137773,0.664198,0.624205,0.075761,0.253527,0.177766,0.635210,1285
0273,centered,6,2/4,1,0.744180,0.854304,0.110124,0.591314,0.639643,0.152866,0.214661,0.061795,0.622257,1285
0273,raw,3,1/4,0,0.753522,0.873123,0.119601,0.694712,0.651226,0.058810,0.221897,0.163088,0.661142,1285
0273,centered,3,1/4,0,0.722780,0.881960,0.159181,0.597172,0.710194,0.125608,0.171767,0.046159,0.618435,1285
0282,raw,6,2/4,1,0.591970,0.812137,0.220167,0.484104,0.793092,0.107866,0.019045,-0.088821,0.421908,4733
0282,centered,6,2/4,1,0.666856,0.791109,0.124254,0.571352,0.768489,0.095504,0.022620,-0.072883,0.540188,4733
0282,raw,3,1/4,0,0.639021,0.796649,0.157628,0.576371,0.741998,0.062649,0.054651,-0.007999,0.491648,4733
0282,centered,3,1/4,0,0.679622,0.820777,0.141155,0.619333,0.768126,0.060289,0.052651,-0.007639,0.593721,4733
0328,raw,6,2/4,1,0.585186,0.718512,0.133326,0.458779,0.818220,0.126407,-0.099709,-0.226116,0.345680,2503
0328,centered,6,2/4,1,0.644664,0.734842,0.090178,0.553472,0.807009,0.091193,-0.072167,-0.163359,0.478269,2503
0328,raw,3,1/4,0,0.675608,0.735071,0.059463,0.586266,0.815307,0.089342,-0.080237,-0.169579,0.500744,2503
0328,centered,3,1/4,0,0.680416,0.789546,0.109131,0.653275,0.839064,0.027140,-0.049518,-0.076658,0.583674,2503
0351,raw,6,2/4,1,0.537318,0.728220,0.190901,0.330172,0.708141,0.207146,0.020079,-0.187067,0.299227,1153
0351,centered,6,2/4,1,0.624326,0.747512,0.123187,0.446109,0.719300,0.178217,0.028212,-0.150005,0.504433,1153
0351,raw,3,1/4,0,0.681674,0.727750,0.046076,0.534957,0.704465,0.146717,0.023284,-0.123433,0.482201,1153
0351,centered,3,1/4,0,0.695972,0.784801,0.088829,0.596240,0.752374,0.099732,0.032427,-0.067305,0.601567,1153
0355,raw,6,2/4,1,0.410088,0.856057,0.445969,0.415905,0.792261,-0.005817,0.063796,0.069613,0.316090,6304
0355,centered,6,2/4,1,0.527550,0.819104,0.291554,0.521744,0.757084,0.005806,0.062021,0.056215,0.445585,6304
0355,raw,3,1/4,0,0.541098,0.820994,0.279896,0.532319,0.772795,0.008780,0.048199,0.039420,0.433776,6304
0355,centered,3,1/4,0,0.634188,0.839473,0.205285,0.623474,0.789181,0.010713,0.050292,0.039579,0.568453,6304
0378,raw,6,2/4,1,0.666526,0.767614,0.101087,0.593679,0.783891,0.072848,-0.016277,-0.089125,0.462676,2583
0378,centered,6,2/4,1,0.692241,0.760692,0.068451,0.636779,0.774709,0.055462,-0.014018,-0.069480,0.523971,2583
0378,raw,3,1/4,0,0.718485,0.775331,0.056846,0.680811,0.778417,0.037674,-0.003086,-0.040760,0.559128,2583
0378,centered,3,1/4,0,0.703108,0.807214,0.104106,0.677986,0.815605,0.025122,-0.008391,-0.033514,0.595692,2583
